7J0|Japan (Shin'etsu), Guest Operators
RK9W%%|Russia (Asiatic), Respublika Bashkortostan (BA), Club Station
RK9X%%|Russia (Asiatic), Respublika Komi (KO), Club Station
RK9Y%%|Russia (Asiatic), Altayskiy kray (AL), Club Station
RK9Z%%|Russia (Asiatic), Respublika Altay (GA), Club Station
RK50|Russia (European), Special Station
RO4N|Russia (European), Kirovskaya oblast' (KI) (Vyatka)
RO4N[W-Z]% RO4O[W-Z]%|Russia (European), Kirovskaya oblast' (KI) (Vyatka), Club Station
RO4O|Russia (European), Kirovskaya oblast' (KI) (Vyatka)
R[U-XZ]1 R[U-XZ]3 R[U-XZ]4 R[U-XZ]6|Russia (European)
R1 R3 R4 R6 R7|Russia (European), Special Station
R## R[A-Z]## U## U[A-I]##|Russia (European), Special Station
R2[A-EG-JL-Z] U2[A-EG-JL-Z]|Russia (European), Special Station
R2[FK][A-Z] R[ACDFGJ-OQT-Z]2[FK] U2[FK] UA2[FK]|Kaliningrad (Koenigsberg), 1st Class(KA) 
R2[FK][A-V][A-Z] R[ACDFGJ-OQT-Z]2[FK][A-V][A-Z] UA2[FK][A-V][A-Z]|Kaliningrad (Koenigsberg), 2nd Class(KA) 
R2[FK][W-Z][A-Z] R[ACDFGJ-OQT-Z]2[FK][W-Z][A-Z] UA2[FK][W-Z][A-Z] |Kaliningrad (Koenigsberg), Club Station(KA) 
R290|Russia (Asiatic), Sverdlovskaya oblast' (SV), 290th Anniversary of Ekaterinburg City
R3[1-8][A-Z]|Russia (European), Novgorodskaya oblast' (NV), HF Championship of the Russian Federation
R31A[A-Z] R52B[A-Z]|Russia (European), Moskovskaya oblast' (MO), Open VHF Championship Moscow Shchelkovo-2012
R31G[A-Z] R21G[A-Z]|Russia (European), Lipetskaya oblast' (LP), The VHF Championship of Russia
R32G[A-Z] R22G[A-Z]|Russia (European), Lipetskaya oblast' (LP), II. VHF Championship of Russia
R34G[A-Z] R34E[A-Z]|Russia (European), Orlovskaya oblast' (OR), IV. VHF Championship of Russia
R35G[A-Z] R35E[A-Z]|Russia (European), Orlovskaya oblast' (OR), 5th VHF Championship of Russia
R44[A-Z] R45[A-Z]|Russia (European), Respublika Mariy El (MR), 4th Volga HF Cup
R450W|Russia (Asiatic), Respublika Bashkortostan (BA), Special Station, 450 years together with Russia
R65P[A-Z]|Russia (European), 65th Anniversary of Kursk Battle
R65S[A-Z]|Russia (European), 65th Anniversary of Stalingrad Battle
R7 R8 R9 R0 U7 U8 U9 U0|Russia (Asiatic), Special Station
R750|Kaliningrad (Koenigsberg), 750th Anniversary(KA) 
R8# R9# R0#|Russia (Asiatic), Special Station
R8T U8T|Russia (Asiatic), Ust' Ordynskiy Buryatskiy avtonomnyy okrug (UO)
R8V U8V|Russia (Asiatic), Aginskiy Buryatskiy avtonomnyy okrug (AB)
R93[A-Z]|Russia (Asiatic), Sverdlovskaya oblast' (SV), HF Championship (Ural Contest - Group)
U[A-I][089]%%/[13-7] U[A-I][089]%%%/[13-7] R[A-Z][089]%%/[13-7] R[A-Z][089]%%%/[13-7]|Russia (European), Portable Station
U[A-I][13-7]%%/[089] U[A-I][13-7]%%%/[089] R[A-Z][13-7]%%/[089] R[A-Z][13-7]%%%/[089]|Russia (Asiatic), Portable Station
UA0A R0A U0A|Russia (Asiatic), Krasnoyarskiy kray (KK)
UA0B R0B U0B|Russia (Asiatic), Taymyrskiy avtonomnyy okrug (TM)
UA0C R0C U0C|Russia (Asiatic), Khabarovskiy kray (HK)
UA0D R0D U0D|Russia (Asiatic), Yevreyskaya avtonomnaya oblast' (EA)
UA0[E-G] R0[E-G] U0[E-G]|Russia (Asiatic), Sakhalinskaya oblast' (SL)
UA0H R0H U0H|Russia (Asiatic), Evenkiyskiy avtonomnyy okrug (EW)
UA0I R0I U0I|Russia (Asiatic), Magadanskaya oblast' (MG)
UA0[GJ] R0[GJ] U0[GJ]|Russia (Asiatic), Amurskaya oblast' (AM)
UA0K R0K U0K|Russia (Asiatic), Chukotskiy avtonomnyy okrug (CK)
UA0[L-N] R0[L-N] U0[L-N]|Russia (Asiatic), Primorskiy kray (PK)
UA0[O-P] R0[O-P] U0[O-P]|Russia (Asiatic), Respublika Buryatiya (BU)
UA0[Q-R] R0[Q-R] U0[Q-R]|Russia (Asiatic), Respublika Sakha (Saha) (YA)
UA0[S-T] R0[S-T] U0[S-T]|Russia (Asiatic), Irkutskaya oblast' (IR)
UA0[U-V] R0[U-V] U0[U-V]|Russia (Asiatic), Chitinskaya oblast' (CT)
UA0W R0W U0W|Russia (Asiatic), Respublika Khakasiya (HA)
UA0X R0X U0X|Russia (Asiatic), Koryakskiy avtonomnyy okrug (KJ)
UA0Y R0Y U0Y|Russia (Asiatic), Respublika Tyva (Tuva) (TU)
UA0Z R0Z U0Z|Russia (Asiatic), Kamchatskaya oblast' (KT)
UA1[ABDF-JLM] R1[ABDF-JLM] U1[ABDF-JLM]|Russia (European), Gorod Leningrad (SP)
UA1[ABDF-JLM] R1[ABDF-JLM] U1[ABDF-JLM]|Russia (European), Gorod Sankt Peterburg (SP)
UA1[C-G] R1[C-G] U1[C-G]|Russia (European), Leningradskaya oblast' (LO)
UA1N R1N U1N|Russia (European), Respublika Kareliya (KL)
UA1O R1O U1O|Russia (European), Arkhangel'skaya oblast' (AR)
UA1P R1P U1P|Russia (European), Nenetskiy avtonomnyy okrug (NO)
UA1[Q-S] R1[Q-S] U1[Q-S]|Russia (European), Vologodskaya oblast' (VO)
UA1[T-U] R1[T-U] U1[T-U]|Russia (European), Novgorodskaya oblast' (NV)
UA1[W-X] R1[W-X] U1[W-X]|Russia (European), Pskovskaya oblast' (PS)
UA1[Y-Z] R1[Y-Z] U1[Y-Z]|Russia (European), Murmanskaya oblast' (MU)
UA2 U2 UA2F U2F|Kaliningrad (Koenigsberg)(KA) 
UA2F[W-Z]% R[AEKNSUVWXZ]2F[W-Z]%|Kaliningrad (Koenigsberg), Club Station(KA) 
UA3[A-CFH] R3[A-CFH] U3[A-CFH]|Russia (European), Gorod Moskva (MA)
UA3D R3D U3D|Russia (European), Moskovskaya oblast' (MO)
UA3E R3E U3E|Russia (European), Orlovskaya oblast' (OR)
UA3G R3G U3G|Russia (European), Lipetskaya oblast' (LP)
UA3[I-J] R3[I-J] U3[I-J]|Russia (European), Tverskaya oblast' (TV)
UA3K R3K U3K|Russia (European), Voronezhskaya oblast' (VR)
UA3L R3L U3L|Russia (European), Smolenskaya oblast' (SM)
UA3M R3M U3M|Russia (European), Yaroslavskaya oblast' (YR)
UA3[N-O] R3[N-O] U3[N-O]|Russia (European), Kostromskaya oblast' (KS)
UA3P R3P U3P|Russia (European), Tul'skaya oblast' (TL)
UA3Q R3Q U3Q|Russia (European), Voronezhskaya oblast' (VR)
UA3R R3R U3R|Russia (European), Tambovskaya oblast' (TB)
UA3S R3S U3S|Russia (European), Ryazanskaya oblast' (RA)
UA3T R3T U3T|Russia (European), Nizhegorodskaya oblast' (NN)
UA3U R3U U3U|Russia (European), Ivanovskaya oblast' (IV)
UA3V R3V U3V|Russia (European), Vladimirskaya oblast' (VL)
UA3W R3W U3W|Russia (European), Kurskaya oblast' (KU)
UA3X R3X U3X|Russia (European), Kaluzhskaya oblast' (KG)
UA3Y R3Y U3Y|Russia (European), Bryanskaya oblast' (BR)
UA3Z R3Z U3Z|Russia (European), Belgorodskaya oblast' (BO)
UA30%% UA30%%%|Russia (European), Special Station, 30 years of World War II. end
UA4[A-B] R4[A-B] U4[A-B]|Russia (European), Volgogradskaya oblast' (VG)
UA4[C-D] R4[C-D] U4[C-D]|Russia (European), Saratovskaya oblast' (SA)
UA4F R4F U4F|Russia (European), Penzenskaya oblast' (PE)
UA4[H-J] R4[H-J] U4[H-J]|Russia (European), Samarskaya oblast' (SR)
UA4[L-M] R4[L-M] U4[L-M]|Russia (European), Ul'yanovskaya oblast' (UL)
UA4[N-O] R4[N-O] U4[N-O]|Russia (European), Kirovskaya oblast' (Vyatka)(KI)
UA4[P-R] R4[P-R] U4[P-R]|Russia (European), Respublika Tatarstan (TA)
UA4[S-T] R4[S-T] U4[S-T]|Russia (European), Respublika Mariy El (MR)
UA4U R4U U4U|Russia (European), Respublika Mordoviya (MD)
UA4W R4W U4W|Russia (European), Respublika Udmurtiya (UD)
UA4[Y-Z] R4[Y-Z] U4[Y-Z]|Russia (European), Respublika Chuvashiya (CU)
UA6[A-D] R6[A-D] U6[A-D]|Russia (European), Krasnodarskiy kray (KR)
UA6E R6E U6E|Russia (European), Respublika Karachayevo Cherkeskiya (KC)
UA6[F-H] R6[F-H] U6[F-H]|Russia (European), Stavropol'skiy kray (ST)
UA6I R6I U6I|Russia (European), Respublika Kalmykiya (KM)
UA6J R6J U6J|Russia (European), Respublika Severnaya Osetiya Alaniya (SO)
UA6[L-O] R6[L-O] U6[L-O]|Russia (European), Rostovskaya oblast' (RO)
UA6P R6P U6P|Russia (European), Respublika Chechnya (CN)
UA6Q R6Q U6Q|Russia (European), Respublika Ingushetiya (IN)
UA6[U-V] R6[U-V] U6[U-V]|Russia (European), Astrakhanskaya oblast' (AO)
UA6W R6W U6W|Russia (European), Respublika Dagestan (DA)
UA6X R6X U6X|Russia (European), Respublika Kabardino Balkariya (KB)
UA6Y R6Y U6Y|Russia (European), Respublika Adygeya (AD)
UA70 UZ70 UA73 UZ73|Russia (Asiatic)
UA7|Russia (Asiatic)
UA8T|Russia (Asiatic), Ust' Ordynskiy Buryatskiy avtonomnyy okrug (UO)
UA8V|Russia (Asiatic), Aginskiy Buryatskiy avtonomnyy okrug (AB)
UA[890] U[B-I][890]|Russia (Asiatic)
UA9[A-B] R9[A-B] U9[A-B]|Russia (Asiatic), Chelyabinskaya oblast' (CB)
UA9[C-E] R9[C-E] U9[C-E]|Russia (Asiatic), Sverdlovskaya oblast' (SV)
UA9F R9F U9F|Russia (Asiatic), Permskaya oblast' (PM)
UA9F R9F U9F|Russia (European), Permskaya oblast' (PM)
UA9G R9G U9G|Russia (Asiatic), Komi Permyatskiy avtonomnyy okrug (KP)
UA9G R9G U9G|Russia (European), Komi Permyatskiy avtonomnyy okrug (KP)
UA9[H-I] R9[H-I] U9[H-I]|Russia (Asiatic), Tomskaya oblast' (TO)
UA9J R9J U9J|Russia (Asiatic), Khanty Mansiyskiy avtonomnyy okrug (HM)
UA9K R9K U9K|Russia (Asiatic), Yamalo Nenetskiy avtonomnyy okrug (YN)
UA9L R9L U9L|Russia (Asiatic), Tyumenskaya oblast' (TN)
UA9[M-N] R9[M-N] U9[M-N]|Russia (Asiatic), Omskaya oblast' (OM)
UA9[O-P] R9[O-P] U9[O-P]|Russia (Asiatic), Novosibirskaya oblast' (NS)
UA9[Q-R] R9[Q-R] U9[Q-R]|Russia (Asiatic), Kurganskaya oblast' (KN)
UA9[S-T] R9[S-T] U9[S-T]|Russia (Asiatic), Orenburgskaya oblast' (OB)
UA9[U-V] R9[U-V] U9[U-V]|Russia (Asiatic), Kemerovskaya oblast' (KE)
UA9W R9W U9W|Russia (Asiatic), Respublika Bashkortostan (BA)
UA9X R9X U9X UA7#X|Russia (Asiatic), Respublika Komi (KO)
UA[89]X R[89]X U[89]X|Russia (Asiatic), Respublika Komi (KO)
UA[89]X R[89]X U[89]X|Russia (European), Respublika Komi (KO)
UA9Y R9Y U9Y|Russia (Asiatic), Altayskiy kray (AL)
UA9Z R9Z U9Z|Russia (Asiatic), Respublika Altay (GA)
U[BCDFG]2[FK]%%|Kaliningrad (Koenigsberg), 3rd Class(KA) 
U[B-I]0A|Russia (Asiatic), Krasnoyarskiy kray (KK)
U[B-I]0A[W-Z]%|Russia (Asiatic), Krasnoyarskiy kray (KK), Club Station
U[B-I]0B|Russia (Asiatic), Taymyrskiy avtonomnyy okrug (TM)
U[B-I]0B[W-Z]%|Russia (Asiatic), Taymyrskiy avtonomnyy okrug (TM), Club Station
U[B-I]0C|Russia (Asiatic), Khabarovskiy kray (HK)
U[B-I]0C[W-Z]%|Russia (Asiatic), Khabarovskiy kray (HK), Club Station
U[B-I]0D|Russia (Asiatic), Yevreyskaya avtonomnaya oblast' (EA)
U[B-I]0D[W-Z]%|Russia (Asiatic), Yevreyskaya avtonomnaya oblast' (EA), Club Station
U[B-I]0[E-G]|Russia (Asiatic), Sakhalinskaya oblast' (SL)
U[B-I]0[E-G][W-Z]%|Russia (Asiatic), Sakhalinskaya oblast' (SL), Club Station
U[B-I]0H|Russia (Asiatic), Evenkiyskiy avtonomnyy okrug (EW)
U[B-I]0H[W-Z]%|Russia (Asiatic), Evenkiyskiy avtonomnyy okrug (EW), Club Station
U[B-I]0I|Russia (Asiatic), Magadanskaya oblast' (MG)
U[B-I]0I[W-Z]%|Russia (Asiatic), Magadanskaya oblast' (MG), Club Station
U[B-I]0[GJ]|Russia (Asiatic), Amurskaya oblast' (AM)
U[B-I]0[GJ][W-Z]%|Russia (Asiatic), Amurskaya oblast' (AM), Club Station
U[B-I]0K|Russia (Asiatic), Chukotskiy avtonomnyy okrug (CK)
U[B-I]0K[W-Z]%|Russia (Asiatic), Chukotskiy avtonomnyy okrug (CK), Club Station
U[B-I]0[L-N]|Russia (Asiatic), Primorskiy kray (PK)
U[B-I]0[L-N][W-Z]%|Russia (Asiatic), Primorskiy kray (PK), Club Station
U[B-I]0[O-P]|Russia (Asiatic), Respublika Buryatiya (BU)
U[B-I]0[O-P][W-Z]%|Russia (Asiatic), Respublika Buryatiya (BU), Club Station
U[B-I]0[Q-R]|Russia (Asiatic), Respublika Sakha (Saha) (YA)
U[B-I]0[Q-R][W-Z]%|Russia (Asiatic), Respublika Sakha (Saha) (YA), Club Station
U[B-I]0[S-T]|Russia (Asiatic), Irkutskaya oblast' (IR)
U[B-I]0[S-T][W-Z]%|Russia (Asiatic), Irkutskaya oblast' (IR), Club Station
U[B-I]0[U-V]|Russia (Asiatic), Chitinskaya oblast' (CT)
U[B-I]0[U-V][W-Z]% UE70[U-V]%%|Russia (Asiatic), Chitinskaya oblast' (CT), Zabaykalskiy kray (ZK) Club Station
U[B-I]0W|Russia (Asiatic), Respublika Khakasiya (HA)
U[B-I]0W[W-Z]%|Russia (Asiatic), Respublika Khakasiya (HA), Club Station
U[B-I]0X|Russia (Asiatic), Koryakskiy avtonomnyy okrug (KJ)
U[B-I]0X[W-Z]%|Russia (Asiatic), Koryakskiy avtonomnyy okrug (KJ), Club Station
U[B-I]0Y|Russia (Asiatic), Respublika Tyva (Tuva) (TU)
U[B-I]0Y[W-Z]%|Russia (Asiatic), Respublika Tyva (Tuva) (TU), Club Station
U[B-I]0Z|Russia (Asiatic), Kamchatskaya oblast' (KT)
U[B-I]0Z[W-Z]%|Russia (Asiatic), Kamchatskaya oblast' (KT), Club Station
U[B-I]1[ABDF-JLM]|Russia (European), Gorod Leningrad (SP)
U[B-I]1[ABDF-JLM]|Russia (European), Gorod Sankt Peterburg (SP)
U[B-I]1[ABDF-JLM][W-Z]%|Russia (European), Gorod Leningrad (SP), Club Station
U[B-I]1[ABDF-JLM][W-Z]%|Russia (European), Gorod Sankt-Peterburg (SP), Club Station
U[B-I]1[C-G]|Russia (European), Leningradskaya oblast' (LO)
U[B-I]1[C-G][W-Z]%|Russia (European), Leningradskaya oblast' (LO), Club Station
U[B-I]1N|Russia (European), Respublika Kareliya (KL)
U[B-I]1N[W-Z]%|Russia (European), Respublika Kareliya (KL), Club Station
U[B-I]1O|Russia (European), Arkhangelskaya oblast' (AR)
U[B-I]1O[W-Z]%|Russia (European), Arkhangelskaya oblast' (AR), Club Station
U[B-I]1P|Russia (European), Nenetsia Terr. (NO)
U[B-I]1P[W-Z]%|Russia (European), Nenetsia Terr. (NO), Club Station
U[B-I]1[Q-S]|Russia (European), Vologodskaya oblast' (VO)
U[B-I]1[Q-S][W-Z]%|Russia (European), Vologodskaya oblast' (VO), Club Station
U[B-I]1[T-U]|Russia (European), Novgorodskaya oblast' (NV)
U[B-I]1[T-U][W-Z]%|Russia (European), Novgorodskaya oblast' (NV), Club Station
U[B-I]1[W-X]|Russia (European), Pskovskaya oblast' (PS)
U[B-I]1[W-X][W-Z]%|Russia (European), Pskovskaya oblast' (PS), Club Station
U[B-I]1[Y-Z]|Russia (European), Murmanskaya oblast' (MU)
U[B-I]1[Y-Z][W-Z]%|Russia (European), Murmanskaya oblast' (MU), Club Station
U[B-I]3[A-BCFH]|Russia (European), Gorod Moskva (MA)
U[B-I]3[A-BCFH][W-Z]%|Russia (European), Gorod Moskva (MA), Club Station
U[B-I]3D|Russia (European), Moskovskaya oblast' (MO)
U[B-I]3D[W-Z]%|Russia (European), Moskovskaya oblast' (MO), Club Station
U[B-I]3E|Russia (European), Orlovskaya oblast' (OR)
U[B-I]3E[W-Z]%|Russia (European), Orlovskaya oblast' (OR), Club Station
U[B-I]3G|Russia (European), Lipetskaya oblast' (LP)
U[B-I]3G[W-Z]%|Russia (European), Lipetskaya oblast' (LP), Club Station
U[B-I]3[I-J]|Russia (European), Tverskaya oblast' (TV)
U[B-I]3[I-J][W-Z]%|Russia (European), Tverskaya oblast' (TV), Club Station
U[B-I]3L|Russia (European), Smolenskaya oblast' (SM)
U[B-I]3L[W-Z]%|Russia (European), Smolenskaya oblast' (SM), Club Station
U[B-I]3M|Russia (European), Yaroslavskaya oblast' (YR)
U[B-I]3M[W-Z]%|Russia (European), Yaroslavskaya oblast' (YR), Club Station
U[B-I]3[N-O]|Russia (European), Kostromskaya oblast' (KS)
U[B-I]3[N-O][W-Z]%|Russia (European), Kostromskaya oblast' (KS), Club Station
U[B-I]3P|Russia (European), Tulskaya oblast' (TL)
U[B-I]3P[W-Z]%|Russia (European), Tul'skaya oblast' (TL), Club Station
U[B-I]3Q|Russia (European), Voronezhskaya oblast' (VR)
U[B-I]3Q[W-Z]%|Russia (European), Voronezhskaya oblast' (VR), Club Station
U[B-I]3R|Russia (European), Tambovskaya oblast' (TB)
U[B-I]3R[W-Z]%|Russia (European), Tambovskaya oblast' (TB), Club Station
U[B-I]3S|Russia (European), Ryazanskaya oblast' (RA)
U[B-I]3S[W-Z]%|Russia (European), Ryazanskaya oblast' (RA), Club Station
U[B-I]3T|Russia (European), Nizhegorodskaya oblast' (NN)
U[B-I]3T[W-Z]%|Russia (European), Nizhegorodskaya oblast' (NN), Club Station
U[B-I]3U|Russia (European), Ivanovskaya oblast' (IV)
U[B-I]3U[W-Z]%|Russia (European), Ivanovskaya oblast' (IV), Club Station
U[B-I]3V|Russia (European), Vladimirskaya oblast' (VL)
U[B-I]3V[W-Z]%|Russia (European), Vladimirskaya oblast' (VL), Club Station
U[B-I]3W|Russia (European), Kurskaya oblast' (KU)
U[B-I]3W[W-Z]%|Russia (European), Kurskaya oblast' (KU), Club Station
U[B-I]3X|Russia (European), Kaluzhskaya oblast' (KG)
U[B-I]3X[W-Z]%|Russia (European), Kaluzhskaya oblast' (KG), Club Station
U[B-I]3Y|Russia (European), Bryanskaya oblast' (BR)
U[B-I]3Y[W-Z]%|Russia (European), Bryanskaya oblast' (BR), Club Station
U[B-I]3Z|Russia (European), Belgorodskaya oblast' (BO)
U[B-I]3Z[W-Z]%|Russia (European), Belgorodskaya oblast' (BO), Club Station
U[B-I]4[A-B]|Russia (European), Volgogradskaya oblast' (VG)
U[B-I]4[A-B][W-Z]%|Russia (European), Volgogradskaya oblast' (VG), Club Station
U[B-I]4[C-D]|Russia (European), Saratovskaya oblast' (SA)
U[B-I]4[C-D][W-Z]%|Russia (European), Saratovskaya oblast' (SA), Club Station
U[B-I]4F|Russia (European), Penzenskaya oblast' (PE)
U[B-I]4F[W-Z]%|Russia (European), Penzenskaya oblast' (PE), Club Station
U[B-I]4[H-J]|Russia (European), Samarskaya oblast' (SR)
U[B-I]4[H-J][W-Z]%|Russia (European), Samarskaya oblast' (SR), Club Station
U[B-I]4[L-M]|Russia (European), Ul'yanovskaya oblast' (UL)
U[B-I]4[L-M][W-Z]%|Russia (European), Ulyanovskaya oblast' (UL), Club Station
U[B-I]4[N-O]|Russia (European), Kirovskaya oblast' (KI) (Vyatka)
U[B-I]4[N-O][W-Z]%|Russia (European), Kirovskaya oblast' (KI) (Vyatka), Club Station
U[B-I]4[P-R]|Russia (European), Respublika Tatarstan (TA)
U[B-I]4[P-R][W-Z]%|Russia (European), Respublika Tatarstan (TA), Club Station
U[B-I]4[S-T]|Russia (European), Respublika Mariy El (MR)
U[B-I]4[S-T][W-Z]%|Russia (European), Respublika Mariy El (MR), Club Station
U[B-I]4U|Russia (European), Respublika Mordoviya (MD)
U[B-I]4U[W-Z]%|Russia (European), Respublika Mordoviya (MD), Club Station
U[B-I]4W|Russia (European), Respublika Udmurtiya (UD)
U[B-I]4W[W-Z]%|Russia (European), Respublika Udmurtiya (UD), Club Station
U[B-I]4[Y-Z]|Russia (European), Respublika Chuvashiya (CU)
U[B-I]4[Y-Z][W-Z]%|Russia (European), Respublika Chuvashiya (CU), Club Station
U[B-I]6[A-D]|Russia (European), Krasnodarskiy kray (KR)
U[B-I]6[A-D][W-Z]%|Russia (European), Krasnodarskiy kray (KR), Club Station
U[B-I]6E|Russia (European), Respublika Karachayevo Cherkeskiya (KC)
U[B-I]6E[W-Z]%|Russia (European), Respublika Karachayevo Cherkeskiya (KC), Club Station
U[B-I]6[F-H]|Russia (European), Stavropolskiy kray (ST)
U[B-I]6[F-H][W-Z]%|Russia (European), Stavropolskiy kray (ST), Club Station
U[B-I]6I|Russia (European), Respublika Kalmykiya (KM)
U[B-I]6I[W-Z]%|Russia (European), Respublika Kalmykiya (KM), Club Station
U[B-I]6J|Russia (European), Respublika Severnaya Osetiya Alaniya (SO)
U[B-I]6J[W-Z]%|Russia (European), Respublika Severnaya Osetiya Alaniya (SO), Club Station
U[B-I]6[L-O]|Russia (European), Rostovskaya oblast' (RO)
U[B-I]6[L-O][W-Z]%|Russia (European), Rostovskaya oblast' (RO), Club Station
U[B-I]6P|Russia (European), Respublika Chechnya (CN)
U[B-I]6P[W-Z]%|Russia (European), Respublika Chechnya (CN), Club Station
U[B-I]6Q|Russia (European), Respublika Ingushetiya (IN)
U[B-I]6Q[W-Z]%|Russia (European), Respublika Ingushetiya (IN), Club Station
U[B-I]6U U[B-EG-I]6V|Russia (European), Astrakhanskaya oblast' (AO)
U[B-I]6U[W-Z]% U[B-EG-I]6V[W-Z]%|Russia (European), Astrakhanskaya oblast, Club Station (AO)
U[B-I]6W|Russia (European), Respublika Dagestan (DA)
U[B-I]6W[W-Z]%|Russia (European), Respublika Dagestan (DA), Club Station
U[B-I]6X|Russia (European), Respublika Kabardino Balkariya (KB)
U[B-I]6X[W-Z]%|Russia (European), Respublika Kabardino Balkariya (KB), Club Station
U[B-I]6Y|Russia (European), Respublika Adygeya (AD)
U[B-I]6Y[W-Z]%|Russia (European), Respublika Adygeya (AD), Club Station
U[B-I]7 R[AEKNSUVWXZ]7|Russia (Asiatic)
U[B-I]8T|Russia (Asiatic), Ust'Ordynskiy Buryatskiy avtonomnyy okrug (UO)
U[B-I]8T[W-Z]%|Russia (Asiatic), Ust Ordynskiy Buryatskiy avtonomnyy okrug (UO), Club Station
U[B-I]8V|Russia (Asiatic), Aginskiy Buryatskiy avtonomnyy okrug (AB)
U[B-I]8V[W-Z]%|Russia (Asiatic), Aginskiy Buryatskiy avtonomnyy okrug (AB), Club Station
U[B-I]9[A-B]|Russia (Asiatic), Chelyabinskaya oblast' (CB)
U[B-I]9[A-B][W-Z]%|Russia (Asiatic), Chelyabinskaya oblast' (CB), Club Station
U[B-I]9[C-E]|Russia (Asiatic), Sverdlovskaya oblast' (SV)
U[B-I]9[C-E][W-Z]%|Russia (Asiatic), Sverdlovskaya oblast' (SV), Club Station
U[B-I]9F|Russia (Asiatic), Permskaya oblast' (PM)
U[B-I]9F[W-Z]%|Russia (Asiatic), Permskaya oblast' (PM), Club Station
U[B-I]9G|Russia (Asiatic), Komi Permyatskiy avtonomnyy okrug (KP)
U[B-I]9G[W-Z]%|Russia (Asiatic), Komi Permyatskiy avtonomnyy okrug (KP), Club Station
U[B-I]9[H-I]|Russia (Asiatic), Tomskaya oblast' (TO)
U[B-I]9[H-I][W-Z]%|Russia (Asiatic), Tomskaya oblast' (TO), Club Station
U[B-I]9J|Russia (Asiatic), Khanty Mansiyskiy avtonomnyy okrug (HM)
U[B-I]9J[W-Z]%|Russia (Asiatic), Khanty Mansiyskiy avtonomnyy okrug (HM), Club Station
U[B-I]9K|Russia (Asiatic), Yamalo Nenetskiy avtonomnyy okrug (YN)
U[B-I]9K[W-Z]%|Russia (Asiatic), Yamalo Nenetskiy avtonomnyy okrug (YN), Club Station
U[B-I]9L|Russia (Asiatic), Tyumenskaya oblast' (TN)
U[B-I]9L[W-Z]%|Russia (Asiatic), Tyumenskaya oblast' (TN), Club Station
U[B-I]9[M-N]|Russia (Asiatic), Omskaya oblast' (OM)
U[B-I]9[M-N][W-Z]%|Russia (Asiatic), Omskaya oblast' (OM), Club Station
U[B-I]9[O-P]|Russia (Asiatic), Novosibirskaya oblast' (NS)
U[B-I]9[O-P][W-Z]%|Russia (Asiatic), Novosibirskaya oblast' (NS), Club Station
U[B-I]9[Q-R]|Russia (Asiatic), Kurganskaya oblast' (KN)
U[B-I]9[Q-R][W-Z]%|Russia (Asiatic), Kurganskaya oblast' (KN), Club Station
U[B-I]9[S-T]|Russia (Asiatic), Orenburgskaya oblast' (OB)
U[B-I]9[S-T][W-Z]%|Russia (Asiatic), Orenburgskaya oblast' (OB), Club Station
U[B-I]9[U-V]|Russia (Asiatic), Kemerovskaya oblast' (KE)
U[B-I]9[U-V][W-Z]%|Russia (Asiatic), Kemerovskaya oblast' (KE), Club Station
U[B-I]9W|Russia (Asiatic), Respublika Bashkortostan (BA)
U[B-I]9W[W-Z]%|Russia (Asiatic), Respublika Bashkortostan (BA), Club Station
U[B-I]9X|Russia (Asiatic), Respublika Komi (KO)
U[B-I]9X[W-Z]%|Russia (Asiatic), Respublika Komi (KO), Club Station
U[B-I]9Y|Russia (Asiatic), Altayskiy kray (AL)
U[B-I]9Y[W-Z]%|Russia (Asiatic), Altayskiy kray (AL), Club Station
U[B-I]9Z|Russia (Asiatic), Respublika Altay (GA)
U[B-I]9Z[W-Z]%|Russia (Asiatic), Respublika Altay (GA), Club Station
U[EHI]2[FK]%%|Kaliningrad (Koenigsberg), 4th Class(KA) 
UE1 UE3 UE4 UE6|Russia (European), Special Station
UE50?|Russia (Asiatic)
UE65[A-Z] R65B[A-Z]|Russia (European), 65th Anniversary of Bryansk Liberation
UE[890][0-9]|Russia (Asiatic), Special Station
UE80M% UE80N% |Russia (Asiatic), Omskaya oblast' (OM), Special Station
UK[1346]|Russia (European)
UK2F 4[J-L]2F E[KM-ORU-Z]2F|Kaliningrad (Koenigsberg)(KA) 
UK9 UK0|Russia (Asiatic), Club Station
UN1[A-Z]%|Russia (European), Respublika Kareliya (KL)
UPOL#|Drifting Ice Station, Russian Arctica (no DXCC credit!)
U[VWZ]0A|Russia (Asiatic), Krasnoyarskiy kray (KK)
U[VWZ]0B|Russia (Asiatic), Taymyrskiy avtonomnyy okrug (TM)
U[VWZ]0C|Russia (Asiatic), Khabarovskiy kray (HK)
U[VWZ]0D|Russia (Asiatic), Yevreyskaya avtonomnaya oblast' (EA)
U[VWZ]0[E-G]|Russia (Asiatic), Sakhalinskaya oblast' (SL)
U[VWZ]0H|Russia (Asiatic), Evenkiyskiy avtonomnyy okrug (EW)
U[VWZ]0I|Russia (Asiatic), Magadanskaya oblast' (MG)
U[VWZ]0[GJ]|Russia (Asiatic), Amurskaya oblast' (AM)
U[VWZ]0K|Russia (Asiatic), Chukotskiy avtonomnyy okrug (CK)
U[VWZ]0[L-N]|Russia (Asiatic), Primorskiy kray (PK)
